gname,nkill
Secret Anti-Communist Army (ESA),11.0
Saraya al-Salam,11.0
Al-Khobar,11.0
9 February,11.0
Afrin Falcons,11.0
Commander Luciano Varela Antiguerrilla Group,11.0
Right Wing Vigilantes,11.0
Black African Vigilantes,11.0
Movement of the Islamic State (MEI),11.0
Soskan tribe,11.0
Extremists,11.0
Kach,11.0
Jund al-Sham for Tawhid and Jihad,11.0
Ingush Rebels,10.0
Tehrik-e-Khilafat,10.0
Kazakhstan Liberation Army,10.0
Democratic Revolutionary Party,10.0
Red Hand Commandos,10.0
U/I Private army of wral politician,10.0
Ujjan Tribe,10.0
Taxi Drivers,10.0
Khalistan Zindabad (Long Live Khalistan),10.0
U/I Liberian Gunmen,10.0
Al-Ahwaz Arab People's Democratic Front,10.0
Republic of New Afrika,10.0
National Liberation Council of Taniland,10.0
Kaka-Tribesmen,10.0
Katap Ethic Group,10.0
Popular Forces of April 25,10.0
Patriotic Morazanista Front (FPM),10.0
Afrikaner Resistance Movement (AWB),10.0
Recompras,10.0
Rival clan,10.0
Algeria Province of the Islamic State,10.0
Italian Social Movement (MSI),10.0
Jamaica Labor Party,10.0
Tritiya Prastuti Committee (TPC),10.0
Itsekiri,10.0
Sinhalese Militants,10.0
Rodrigo Franco Command,10.0
Shan State Army - South (SSA-S),10.0
Force 17,10.0
Forces for the Defense of Democracy (FDD),10.0
Loyalist Volunteer Forces (LVF),10.0
Armed Forces Revolutionary Council (AFRC),10.0
Hafiz Gul Bahadur Group,10.0
Extremist Nat'list Group,10.0
Al-Nasireen Group,10.0
Spanish Basque Battalion (BBE) (rightist),10.0
National Socialist Underground,10.0
Ahrar al-Sharqiya,10.0
Nationalist Integrationist Front (FNI),10.0
Karbi Longri North Cachar Liberation Front (KLNLF),10.0
Badr Brigades,10.0
Save Kashmir Movement,10.0
Congolese Patriotic Resistence-Patriotic Armed Forces (Pareco/FAP),9.0
Tanzeem Ittehad - I - Ulema Qabail (Tiuq)Tribesmen,9.0
Abbala extremists,9.0
Alex Boncayao Brigade (ABB),9.0
"Civil Association for Peace in Colombia, Asocipaz",9.0
Continuity Irish Republican Army (CIRA),9.0
Sa'ad Militia,9.0
Moslem opponents of Gemayel,9.0
Tribal guerrillas,9.0
Turkish Hezbollah,9.0
The New Irish Republican Army,9.0
Lekagak Tenggamati,9.0
All India Anna Dravida Munetra Kazgan Party,9.0
Kurdish Separatists,9.0
Fajr al-Umma Brigade,9.0
Arab Liberation Front (ALF),9.0
Red Hand Defenders (RHD),9.0
Al-Intiqami al-Pakistani,9.0
Gang,9.0
Tabu Tribe,9.0
Organizacion Democratica Nacionalista (ORDEN),9.0
Ansar al-Furqan,9.0
Patriotic and Integrationist Forces of the Congo (FPIC),9.0
United National Liberation Front of WESEA (UNLFW),9.0
National Council of Maubere Resistance,9.0
Enyele Militia,8.0
Arakan Rohingy Islamic Front,8.0
Kani Brigade,8.0
Islamic Courts Union (ICU),8.0
Evangelical Christians,8.0
Samyukta Jatiya Mukti Morcha (SJMM),8.0
Anti-Abortion extremists,8.0
Iranians,8.0
Cambodian Freedom Fighters (CFF),8.0
Mungiki Sect,8.0
Cinchoneros Popular Liberation Movement,8.0
Ahrar Al-Jalil (Free People of the Galilee),8.0
Militant Movement for Madagascan Socialism (MMSM),8.0
Jharkhand Liberation Tigers (JLT),8.0
Jewish Extremists,8.0
Marxist-Leninist Armed Propaganda Unit,8.0
Bilal Badr Group,8.0
Afrin Liberation Forces (HRE),8.0
People's Guerrilla Front,8.0
Gulf Cartel,8.0
Political Group,8.0
People's Revolutionary Party of Kangleipak (PREPAK),8.0
United Nicaraguan Opposition,8.0
Arbav Martyrs of Khuzestan,8.0
Kurdish Oppositionists,8.0
Kisan Indian Organization,8.0
Supporters Opposition Leader Etienne Tshisekedi,8.0
Arab-Israeli extremists,8.0
Lashkar-e-Balochistan,8.0
Mujahideen Islam Pattani,8.0
Dayak gang,8.0
Mujahedeen Group,8.0
Colombian Guerrillas,8.0
Ku Klux Klan,7.0
Sindhudesh Revolutionary Army (SRA),7.0
Banya Tribe,7.0
Merille Militia,7.0
Liwa Ahrar al-Sunna,7.0
Jamaat-E-Islami (India/Pakistan),7.0
Crazy Brabant Killers,7.0
Macetos (Paramilitary Group),7.0
Revolutionary Patriotic Anti-Fascist Front (FRAP),7.0
Maximiliano Gomez Revolutionary Brigade,7.0
Black Berets,7.0
Union of Peoples and Organizations of the State of Guerrero (UPOEG),7.0
Africa Marine Commando,7.0
Rival Afghan Group,7.0
Armenians,7.0
Pathalgadi Movement,7.0
Janatantrik Terai Mukti Morcha (JTMM),7.0
Al-Furqan Brigades,7.0
Habr Gedir Clan,7.0
Baloch Republican Party,7.0
Majlis-e-Askari,7.0
Bharatiya Janata Party,7.0
White Wolves,7.0
Habi's Er'roub seriat,7.0
Jaish al-Mujahideen (Syria),7.0
Fuerzas Armadas de Liberacion Nacional (FALN),7.0
The Children of the Fire Initiative,7.0
Armed Proletarian Nuclei (NAP),7.0
Tribal Separatists,7.0
Kilafah Islamic Movement,7.0
Kara clan,7.0
Zaghawa extremists,7.0
Kangleipak Communist Party (KCP),7.0
Hind Province of the Islamic State,7.0
Islamic Jihad Group (IJG),7.0
Lebanese Liberation Front,7.0
Revolutionary Workers' Council (Kakurokyo),7.0
Autonomy-Seeking Arabs,7.0
Islamic Movement (Nigeria),7.0
Afghan Merceneries,7.0
Squadrons of Terror (Katibat El Ahoual),7.0
Opposition Militants,7.0
Coordination Committee (CORCOM),6.0
Adivasi National Liberation Army (ANLA),6.0
Mabanese Defence Forces,6.0
Filipino Soldiers for the Country,6.0
United Democratic Liberation Army (UDLA),6.0
Macheteros,6.0
Afar Revolutionary Democratic Unity Front,6.0
Kuki National Army (KNA),6.0
White Mercenaries,6.0
God's Army,6.0
United Democratic Front (UDF),6.0
Al-Arifeen,6.0
Iraqi Sunni Extremists,6.0
United Wa State Army,6.0
Al-Ashtar Brigades,6.0
Left-Wing Militants,6.0
United Students Forum,6.0
Death Squad of Organization Zero (Organizacion Cero),6.0
Yakariya Bango Insurgent Group,6.0
Al-Shabaab al-Mu'minin,6.0
Tulawie Clan,6.0
Extreme Right Commando Brigade,6.0
Action Directe,6.0
Twigwaneho militia,6.0
Liberians United for Reconciliation and Democracy (LURD),6.0
Dishmish Regiment,6.0
Libya Revolutionaries Operations Room (LROR),6.0
Israeli extremists,6.0
Local Residents,6.0
United Liberation Torchbearers Forces,6.0
Xhosa Tribal Workers,6.0
Mapuche extremists,6.0
Pakistani People's Party (PPP),6.0
National Liberation Army (Peru),6.0
Black Panthers,6.0
The Unit of the Chemical Weapons Martyrs,6.0
Revolution's Brigade,6.0
Peronist Armed Forces (FAP),6.0
Arab Revolution/Liberation Vanguard Organization,6.0
Militant Peasants (NFI),6.0
Arab Movement of Azawad (MAA),6.0
Committee of Coordination,6.0
Sasna Tsrer,6.0
Syrian Army deserters,6.0
Scooter Borne terrorists,6.0
Protestant Action Group,6.0
Pro-Indonesia extremists,6.0
People's Amn Committee,6.0
Siriri,6.0
Anas al-Dabbashi Brigade,6.0
Colombian Revolution,6.0
Sindhi nationalists,6.0
Bahrain Province of the Islamic State,6.0
People's Tamil Organization,6.0
Colombia Without Guerrillas,6.0
Coca Farmers,6.0
Baloch Republican Guards (BRG),6.0
Southern Yemen Separatists,6.0
Pan Africanist Congress (PAC),6.0
Operation Gideon,6.0
Revolutionary Movement for National Salvation (REMNASA),6.0
Revolutionary Punishment Movement,6.0
Communist Party of Thailand,6.0
Niger Delta Avengers (NDA),6.0
Mai Mai Yakutumba Militia,6.0
National Republican Alliance Party,6.0
Maoist Farm Laborers Struggle Committee (MXSS),6.0
Bassa Kwomu extremists,5.0
Syrian Resistance Forces to Liberate Golan Heights,5.0
U/I Liberians,5.0
Smugglers and Elephant Poachers,5.0
Jamiat-e Islami-yi Afghanistan,5.0
Akhil Terai Mukti Morcha (ATMM),5.0
Nepal Defense Army,5.0
Akali Dal Party,5.0
Al-Haramayn Brigades,5.0
Breton Liberation Front (FLB),5.0
People's United Liberation Front (PULF),5.0
Kurdish guerrillas,5.0
U/I Somali Militiamen,5.0
Anti-Independence extremists,5.0
Syrian Mujahideen,5.0
Ed'daoua Es'salafia Lilqadha,5.0
Civil Protection Units (YPS),5.0
Sungu Sungu,5.0
People's Temple,5.0
Negara Islam Indonesia (NII),5.0
Sudanese People's Front,5.0
Filipino Communists,5.0
Anti-Government Demonstrators,5.0
Brelvi Muslims,5.0
Akhilesh Singh Gang,5.0
Draa El Mizan Seriat,5.0
Union of the Peoples of the Arabian Peninsula,5.0
National Democratic Front-Bicol (NDF-Bicol),5.0
Al-Badr,5.0
Kenya African National Union (KANU),5.0
Pakistan Muslim League (PML),5.0
Faithful Resistance,5.0
Dnester region guerrilas,5.0
Supporters of Sultan Abd-al-Bagi,5.0
Dissident Republican Guard,5.0
Kalpar Tribesmen,5.0
Eagles of the Palestinian Revolution,5.0
Ansar Ghazwat-ul-Hind,5.0
Subversives,5.0
Farmers,5.0
Supporters of Ex-President Gamsakhurdial,5.0
Fatah Hawks,5.0
Niger Delta extremists,5.0
Gun runners,5.0
Fatah al-Islam,5.0
Fedayeen Imam Mahdi,5.0
Soldiers of Truth,5.0
Black extremists,5.0
Egyptians,5.0
Tehrik al-Mojahedin,5.0
Karbi Longri National Liberation Front (KLNLF),5.0
28 May Armenian Organization,5.0
Achik National Volunteer Council-B (ANVC-B),5.0
Ikhwan Jammu and Kashmir,5.0
Islamic Companies,5.0
Achik National Volunteer Council (ANVC),5.0
Commandos,5.0
Armed Commandos of Liberation,5.0
Groups of Martyr Baha Eleyan,5.0
Madhesi People's Rights Forum (MPRF),5.0
2nd of June Movement,5.0
Tupac Katari Guerrilla Army (EGTK),5.0
Asbat al-Ansar,5.0
Hmar People's Convention-Democracy (HPC-D),5.0
Hezb-e Wahdat-e Islami-yi Afghanistan,5.0
Hezbollah Palestine,5.0
Armed Forces for National Salvation - Army of the People (FASN-EP),5.0
Pro Hartal Activists,5.0
Free Revolutionaries Movement-The Giants,5.0
Landless Peasants' Movement (MST),5.0
United Revolutionary Front,5.0
Popular Resistance Army (PRA),5.0
The United Revolutionary Front of Bhutan,5.0
Matan Abdulle,5.0
Tribal Clash,5.0
Popular Militia (Colombia),5.0
Mujahedeen Army,5.0
Shan Insurgents,5.0
God our Father Cult,5.0
Zwai Tribe,5.0
Shabelle Valley militia,5.0
14 March Coalition,5.0
Rohingya Solidarity Organization,5.0
Etnocacerista Movement,4.0
Gono Bahini (GB),4.0
Youth of the Land of Egypt,4.0
Iberian Anarchist Federation,4.0
Orfei Harsha'am,4.0
Omega-7,4.0
Revolutionary Workers Party,4.0
High Council of the Islamic Emirate,4.0
Student Front of the People,4.0
Hector Rio De Brigade,4.0
Kanak Socialist National Liberation Front,4.0
Revolutionary Security Apparatus,4.0
Aba Cheali Group,4.0
Elements Police Cobra Squadron,4.0
Sagrado Corazon Fanatic Group,4.0
Rival peasant band,4.0
Sadrist Movement,4.0
Karamojong Warriors,4.0
Justice Army for Defenseless Peoples,4.0
United Liberation Movement for Democracy in Liberia (ULIMO),4.0
Black September II,4.0
Sandinistas,4.0
Shaykh Subhi Al-Salih Forces,4.0
Popular Front for Recovery (FPR),4.0
Shura Council of Ajdabiya Revolutionaries,4.0
Anti-Technology extremists,4.0
Basque Separatists,4.0
Free Galician People's Guerrilla Army,4.0
September 11 Commandos,4.0
Popular Resistance Movement (Egypt),4.0
Freedom Party,4.0
Pro-Government extremists,4.0
Villagers,4.0
Jatav Caste,4.0
Protesters,4.0
Atyap militia,4.0
Jewish Defense League (JDL),4.0
February 17 Martyrs Brigade,4.0
Jihad Islamic League Front,4.0
Iraqi Revolutionary Forces,4.0
Red Brigades Fighting Communist Party (BR-PCC),4.0
United Bengali Liberation Front (UBLF),4.0
Arab Revolutionary Cells,4.0
Joint Meeting Parties (JMP),4.0
Ahle Sunnat Wal Jamaat (ASWJ-Pakistan),4.0
Georgian Sabotage Group,4.0
Workers' Self-Defense Movement (MAO),4.0
Jaish al-Ta'ifa al-Mansura,4.0
Black Malian Group,4.0
Workers/Employees,4.0
Armed Subversives,4.0
Jonathan Jackson Brigade,4.0
S. O. S. France,4.0
Committee of Solidarity with Arab and Middle East Political Prisoners (CSPPA),4.0
Direct Action Against Drugs (DADD),4.0
Libyan,4.0
Kharkiv Partisans,4.0
Martyr Ciyager and Martyr Zeryan Revenge Units,4.0
Movement for Triqui Unification and Struggle,4.0
Lashkar-e-Islam (India),4.0
Al-Madina,4.0
National Committee for the Salvation of the People,4.0
Kisii Activists,4.0
Mazdoor Kisan Sangram Samiti (MKSS),4.0
Dioulas tribal group,4.0
Mozambique Rightest Rebels,4.0
Komando Jihad (Indonesian),4.0
Kurdish Marxist Separatists,4.0
Mwakenya Dissident Movement,4.0
Uganda National Liberation Front (UNLF),4.0
Convention of Liberal Reformers (CLR),4.0
Lebanese Free Will Movement,4.0
Ananda Marga,4.0
Muslim Janbaz Force,4.0
Meitei extremists,4.0
The Northern Alliance (or United Islamic Front for Salvation of Afghanistan - UIFSA),4.0
National Santhali Liberation Army (NSLA),4.0
Ansar al-Sharia Operations Room (Syria),4.0
Tupamaros (Uruguay),4.0
Lebanese Socialist Revolutionary Organization,4.0
Rashtriya Swayamsevak Sangh,3.0
Communist Party of India- Marxist,3.0
Activists,3.0
Baloch Waja Liberation Army (BWLA),3.0
Popular Anti-Communist Militias,3.0
Bangladesh Communist Party,3.0
Jaish Tahkim al-Din,3.0
Tripura Group,3.0
Revolutionary Headquarters (Turkey),3.0
U/I Catholic Traditionalists,3.0
Mujahedeen Shura Council in the Environs of Jerusalem,3.0
Mujahideen Kashmir,3.0
Citizens Volunteer Force,3.0
People's Liberation Front of Niger,3.0
Revolutionary League,3.0
Sayfullakh,3.0
Citizen's Rights Protection Volunteers,3.0
Trinitarians,3.0
People's Revolutionary Organization- Colombia (ORP),3.0
People's Revolutionary Movement (MRP),3.0
Anarchists,3.0
The Revolt,3.0
High Council for the Unity of Azawad (HCUA),3.0
Arab Commando Cells,3.0
Arabs,3.0
People's Military Organization (OMP),3.0
Rafallah al-Sahati Brigade,3.0
Saraya Waad Allah,3.0
Arab People's Group,3.0
Vietnamese Organization to Exterminate Communists and Restore the Nation,3.0
Al-Sunna wal Jamma,3.0
Lebanese Armed Revolutionary Faction (LARF),3.0
The Great Serpent,3.0
Islamic Jihad Organization (Yemen),3.0
Islamic Jihad Union (Uzbekistan),3.0
Army of God,3.0
Libyan Militia,3.0
Communist Combattant Cells (CCC) (Belgium),3.0
Moro Ghuraba,3.0
May 15 Organization for the Liberation of Palestine,3.0
Imam Hussein Brigade,3.0
Gilad Shalhevet Brigades,3.0
Cossack Separatists,3.0
Islamic Party (Somalia),3.0
Lebanese Resistance Group,3.0
The Mujahadeen Room in Latakia Countryside,3.0
Loyalists,3.0
Ambazonia Tigers,3.0
Islamic Shashantantra Andolon (ISA),3.0
Kuki National Front (KNF),3.0
Serbian Nationalists,3.0
Al-Mahdi in Southern Tunisia,3.0
World Church of the Creator,3.0
Arab Steadfastness Front,3.0
Vishwa Hindu Parishad (VHP),3.0
Islamic Youth Shura Council,3.0
Arab Struggle,3.0
Sanatan Sanstha,3.0
Gathering to Aid the Oppressed,3.0
Muslim Demonstrators,3.0
Manipur Naga People's Army (MNPA),3.0
Khasi Students Union,3.0
Hafeez Brohi Group,3.0
Anti-Christian extremists,3.0
Central African National Liberation Movement,3.0
Unification Army Sons Brigade,3.0
Salafi Abu-Bakr al-Siddiq Army,3.0
Right Wing Lebanese Militiamen,3.0
National Democratic Party,3.0
Ukrainian nationalists,3.0
Bodyguards of Muslim Warlord Governor Tupay Loong,3.0
Otpor,3.0
Pahadi Cheetah,3.0
Armed Nuclei for Territorial Counterpower,3.0
Supporters of Muhammad Umar Habib,3.0
Anti-Communist Patriotic Front,3.0
Samyukta Janatantrik Terai Mukti Morcha (SJTMM),3.0
Guardsmen of Islam,3.0
Bodu Bala Sena,3.0
Air and Azawak Liberation Front,3.0
South Sudan United Front (SSUF),3.0
Magahat Militia,3.0
Brigades of Iman Hassan-al-Basri,3.0
Nepali Congress Party (NC),3.0
Mai Mai Karakara Militia,3.0
Anti-American Arab Liberation Front,3.0
Kashmiri Hezbollah,3.0
National Organization of Cypriot Fighters (EOKA),3.0
Mahaz Fedai Tahrik Islami Afghanistan,3.0
Students,3.0
Al-Adl Wal Ihsane,3.0
Kampuchean Peoples National Liberation Army,3.0
Catholic Reaction Force,3.0
H-World/Heavenly Group,3.0
Congress Party Activists,3.0
Strikers,3.0
E. Timorese Youths,3.0
Madhesh Rastra Janatantrik Revolutionary (RJR) - Nepal,3.0
Jumuiya ya Taasisi za Kiislam (Community of Muslim Organizations),3.0
Khorasan jihadi group,3.0
Japan Socialist Youth League of the Revolutionary Workers' Association,3.0
Malaysian Communist Party,3.0
Maasai,3.0
Supporters of opposing candidate Abdu Sakurtan,3.0
Khun Sa Guerrillas,3.0
Biafra Zionist Movement (BZM),3.0
Socialist Patients' Collective (SPK),3.0
Dignity for Colombia,3.0
Harakat ul-Mujahidin Al-Almi,3.0
Somali Gang,3.0
Bhumi Uchched Pratirodh Committee (BUPC),3.0
Harakat Ansar Iran (HAI),3.0
Jerusalem Groups Hebrew (Qvutzot Yerushalayim),3.0
Socialist Labor Party of Lebanon,3.0
Andres Castro United Front,3.0
Pentagon Kidnap Group,3.0
Kim Pyongnil Supporters,3.0
Skinheads,3.0
Kizilyurtovskiy Group,3.0
Red Brigades Fighting Communist Union (BR-UCC),2.0
Mai Mai Malaika Militia,2.0
Manipur Nationalist Revolutionary Party (MNRP),2.0
Tripoli Revolutionaries Battalion,2.0
Revolutionary Organization of Socialist Muslims,2.0
Revolutionary People's Struggle (ELA),2.0
International Mercenary Brigade,2.0
Tontons Macoutes,2.0
Iparretarrak (IK),2.0
Militant People's Revolutionary Forces,2.0
Zagros Eagles,2.0
Intifada Martyrs,2.0
Revolutionary Commandos of the People (CRP),2.0
Libya Shield Force,2.0
Saffron Tigers,2.0
Revolutionary Armed Forces- Argentina (FAR-A),2.0
Makhachkala Gang,2.0
Zarate Willka Armed Forces of Liberation,2.0
Hynniewtrep National Liberation Council (HNLC),2.0
Lufa Tribesmen,2.0
Tribal Thumb,2.0
Revolutionary Worker Clandestine Union of the People Party (PROCUP),2.0
Martyr Ali Nasir group,2.0
Hanafi Muslims,2.0
Harakat ul-Mujahidin (HuM),2.0
Youth Movement for the Total Liberation of Azawad,2.0
Yatama,2.0
Majerten clansmen,2.0
Yazbik Revolutionary Organization,2.0
Saor Eire (Irish Republican Group),2.0
Young Pioneers,2.0
Rival Parts,2.0
Malitia-Pro Govt,2.0
Women's Protection Units (YPJ),2.0
New Armenian Resistance,2.0
Turkish-backed militia,2.0
Iranian extremists,2.0
The Owners of the White Flags,2.0
Jharkhand Prastuti Committee (JPC),2.0
Pareci Indians,2.0
Jharkhand Janmukti Parishad (JJP),2.0
National Anti Communist Commando,2.0
Jewish Armed Resistance,2.0
Jeay Sindh Muttahida Mahaz (JSMM),2.0
Symbionese Liberation Army (SLA),2.0
Jarnail Khalsa,2.0
Patriotic Youth Movement of the Gabonese Defence and Security Forces,2.0
Janatantrik Terai Madhesh Mukti Morcha (JTMMM),2.0
United Democratic Madhesi Front (UDMF),2.0
People Against Gangsterism and Drugs (PAGAD),2.0
People's Democratic Party (PDP),2.0
Jamaah Ansharut Tauhid (JAT),2.0
Uganda Democratic Christian Army (UDCA),2.0
Kurdish Islamic Unity Party,2.0
People's Resistance Organized Army,2.0
Uighur Liberation Organization,2.0
Supporters of leftist Gana-Oikya Front,2.0
National Democratic Alliance (NDA),2.0
Kenyan rebels from Uganda,2.0
Karabulak Gang,2.0
National Revolutionary Front,2.0
National Movement of Iranian Resistance,2.0
Kata'ib al-Khoul,2.0
Kamal Boulander Group,2.0
Struggle Against Misery and Exploitation of Peasants,2.0
State Council of Indian and Peasant Organization,2.0
National League for Democracy,2.0
Palestinian Hezbollah,2.0
Spanish National Action,2.0
Organization of Soldiers of the Levant,2.0
National Front for the Liberation of Cuba (FLNC),2.0
Organized Crime,2.0
Ukrainian Insurgent Army,2.0
Jund al-Islam,2.0
Mai Mai Hapa Na Pale,2.0
Tanyus Shanin Armed Unit,2.0
Jaish-e-Khorasan (JeK),2.0
Mullah Nazir Group,2.0
Professional Killers,2.0
Popular Revolutionary Vanguard (VPR),2.0
Portuguese Anti-Communist Movement,2.0
Posse Comitatus,2.0
Presidential Movement (MP) Militiamen,2.0
Pro-Government Students,2.0
The Independent Military Wing of the Syrian Revolution Abroad,2.0
The Islamic Revolution to Liberate Palestine,2.0
Progressive Socialist Party (PSP),2.0
Secret Organization Zero,2.0
Turkish Communist Workers Party,2.0
Islam Liberation Front,2.0
Scheutzen group,2.0
Irigwe Militia,2.0
Minutemen American Defense,2.0
Irian Jaya Rebels,2.0
West Indonesia Mujahideen,2.0
Lavalas Supporters,2.0
Islamic Mujahidin,2.0
Jaish as-Saiyouf (Army of Swords),2.0
Islamic Tendency,2.0
Peruvian Rebels,2.0
United Karbi Liberation Army (UKLA),2.0
Shan State Army - North (SSA-N),2.0
Jaish Usama,2.0
Mujahedeen Corps in Iraq,2.0
Tehrik-e-Galba Islam,2.0
Shahid Khalsa Force,2.0
United National Party,2.0
United Somali Congress,2.0
Serbs,2.0
Karamyit Singh,2.0
Movement of the Revolutionary Left (MIR) (Peru),2.0
Islamic Revival Movement,2.0
Sect of Revolutionaries (Greece),2.0
Mouhajiroune Brigade,2.0
Turkish Islamic Commandos,2.0
Mahaz-e-Milli Islami Afghanistan,2.0
1 May,2.0
Achik National Cooperative Army (ANCA),2.0
Bedouin Movement (Sudan),2.0
Death to Drug Traffickers,2.0
Four Martyrs Brigade,2.0
Abu Tira (Central Reserve Forces),2.0
Black December,2.0
Delta Group,2.0
Americans for a Competent Federal Judicial System,2.0
American Indian Movement,2.0
Armenian extremists,2.0
Future movement (Lebanon),2.0
Congolese National Movement- Lumumba (MNCL),2.0
Al-Ma'unah,2.0
Chicano Liberation Front,2.0
Besi Merah Putih Militia,2.0
Bengali Tiger Force (BTF),2.0
Free Fatherland,2.0
Beirut Martyrs Battalion,2.0
Adan Abyan Islamic Army (AAIA),2.0
Dawn Forces,2.0
Central American Revolutionary Workers Party (PRTC),2.0
Anti-Communist extremists,2.0
Ansar Abi Bakr al-Siddiq Squadron,2.0
Conspiracy theory extremists,2.0
Condor Plan Criminals,2.0
Abu Hassan,2.0
Forest Brothers,2.0
Armed Islamic Movement,2.0
Cali Narcotics Cartel,2.0
Ajnad al-Sham,2.0
First May Movement,2.0
Cuncolta Naziunalista,2.0
Cambodian guerrillas,2.0
Communist Party of Nepal-Maoist (Baidya),2.0
Communist Party of Nepal- Unified Marxist-Leninist (CPN-UML),2.0
Catalan Liberation Front (FAC),2.0
Boogaloo movement,2.0
Al-Da'wah Party,2.0
Golden Dawn,2.0
Dissident Republicans,2.0
Anti-Fascist Activists,2.0
Antonio,2.0
Action Group for the Destruction of the Police State,2.0
Anti-Liberal extremists,2.0
Guadalcanal Liberation Army,2.0
Bangladesh Tiger Force,2.0
Autonomen,2.0
Anti-Marxist Commando,2.0
Dissidents linked to Zanga,2.0
Egypt's Revolution,2.0
El Mico Rebel Gray,2.0
Guardians of the Islamic Revolution,2.0
Balakhani Group,2.0
Bahujan Samaj Party,2.0
Columbia PM,2.0
Anti-Nuclear extremists,2.0
Eritrean Peoples Liberation Front,2.0
Albanian National Army (ANA),2.0
Awdal Regional Administration Army (ARAA),2.0
Execution Squad (Egypt),2.0
East Asia Anti Japanese Armed Front,2.0
Cleansing Hand (La Mano Que Limpia),2.0
Alliance of Patriots for a Free and Sovereign Congo (APCLS),2.0
Dnestr Rebels,2.0
Al-Nawaz,2.0
Basque terrorists,2.0
Chukakuha (Middle Core Faction),2.0
Student Demonstrators,1.0
Manuel Jose Arce Commando,1.0
Shiv Sena,1.0
"Militant Islamic Group, name not stated",1.0
Militant Organization of Russian Nationalists,1.0
Mandela Soccer Club,1.0
Autonomous Revolutionary Brigade,1.0
Anti-Capitalist Brigades,1.0
Minority Unity Forum,1.0
Communist Territorial Nuclei,1.0
Commando Heinz Neumann,1.0
Communist Trade Union Workers,1.0
Spanish Falange,1.0
Concerned citizens,1.0
Sober and Evil Youth,1.0
Committee for the Elimination of Killer Collaborators,1.0
Mahidi,1.0
Moro National Liberation Front Splinter group,1.0
Moroccan extremists,1.0
Motherland Party,1.0
Skinhead group,1.0
Anti-Imperialist Patriotic Union,1.0
Movement for Cuban Justice (Pragmatistas),1.0
Communist Party of India,1.0
Communist Nuclear,1.0
Mongolian Mukti Morcha,1.0
Spanish Armed Group,1.0
May 19 Communist Order,1.0
Commando Delta,1.0
Sons of the Gestapo,1.0
Somali Islamic Front,1.0
Somali Guerrillas,1.0
Mawlawi and Mansour Group,1.0
South African guerrillas,1.0
Sicarii,1.0
South East Antrim Brigade,1.0
Communist Fighting Unit,1.0
Miscreants,1.0
South Ossetian Separatists,1.0
Soldiers of the Caliphate,1.0
Shuar extremists,1.0
Anti-Communist Vigilante Patrol,1.0
Miguel Angel Cabrera Command,1.0
Anti-Communist Viets Organization,1.0
Anti-Communist Commando of the South,1.0
Sovereign Citizen,1.0
Socialist Chhatra League,1.0
Soviet and Cuban-backed rebels/mercenaries,1.0
Mahdaviyat,1.0
Liberation War Veterans Association,1.0
Madhesi Mukti Tigers (MMT),1.0
Donskoy Army,1.0
Alpha-66 (Cuban counterrevolutionary),1.0
Kidnapping gang,1.0
The Association for Islamic Mobilisation and Propagation (UAMSHO),1.0
Diraa al-Shahbaa Rebel Brigade,1.0
Thavar Caste,1.0
Thai Communists,1.0
Korea Univ. Students,1.0
Korean Youth League,1.0
Korubo Tribe,1.0
Kouweikhat Group,1.0
Terra Lliure,1.0
Terai Madheshi Mukti Morcha (TMMM),1.0
Kuki Unification Frontal Organization (KUFO),1.0
Terai Janatantrik Madhes Party,1.0
Kuna Indians,1.0
Khmer Serei Guerrillas,1.0
Khalistani extremists,1.0
Terai Cobra,1.0
Allah's Tigers,1.0
Alcubar group,1.0
Justice Party,1.0
Algeisk Wolves,1.0
Tolib Ayombekov loyalists,1.0
Kamal Udwan Unit of Palestinians,1.0
Tigers,1.0
Kanakas,1.0
Tibetan separatists,1.0
All Burma Students' Democratic Front (ABSDF),1.0
Karbi Tribe,1.0
All India Sikh Students Federation (AISSF),1.0
East Turkistan Liberation Organization,1.0
The Order (Silent Brotherhood),1.0
All-Party Students Union,1.0
Dukhta-ran-e-Millat,1.0
Democratic Revolutionary Front (FDR),1.0
Kurdish Peshmerga Guerrillas,1.0
Ansaru ash-Sharia (Russia),1.0
Liberation Battalion,1.0
Liberation Hawks,1.0
Croatian Freedom Fighters,1.0
Anti-Republican extremists,1.0
Supreme Islamic Council,1.0
Liberia Peace Council,1.0
"Covenant, Sword and the Arm of the Lord (CSA)",1.0
"Supporters, House Speaker Ramon Mitra",1.0
Libyan Students,1.0
Animal Rights extremists,1.0
Corsican Separatists,1.0
Local landlord employee,1.0
Ansar Al Sunnah (Palestine),1.0
Ansar Wa Mohajir (Pakistan),1.0
MANO-D,1.0
MILPAS Contras,1.0
Surinamese Amerindians,1.0
Liberal Democratic Council for Missing Land,1.0
Kurdish extremists,1.0
Sword of Islam,1.0
Ana Maria Martinly August 22 Brigade,1.0
Tehama Movement,1.0
Tawhid and Jihad (Palestine),1.0
Death to the Demobilized Militias,1.0
Laiq Chanio Group of Dacoit Bandits,1.0
Tawheedul Islam,1.0
David's Sword,1.0
Dashmesh Regiment,1.0
Takam Mising Porin Kebang (TMPK),1.0
Lebanese Secret Army,1.0
Anbar Salvation Council,1.0
Lebanese and Palestinian Resistance Fighters,1.0
